time,equity
2017-01-03,1000000.0
2017-01-06,990852.9349999999
2017-01-09,1000930.2100000002
2017-01-10,1001860.42
2017-01-11,1010232.3099999999
2017-01-12,996434.195
2017-01-13,998604.6849999999
2017-01-16,1010852.4500000001
2017-01-17,1004651.0499999999
2017-01-19,1002170.4899999999
2017-01-20,988062.305
2017-01-23,995348.9500000001
2017-01-24,982946.1500000001
2017-01-25,985736.78
2017-01-26,951629.08
2017-01-27,968837.965
2017-01-30,958140.5499999999
2017-01-31,934885.2999999999
2017-02-01,919536.8350000001
2017-02-02,930234.25
2017-02-03,902948.09
2017-02-06,908839.42
2017-02-07,902327.9500000001
2017-02-08,911475.0150000001
2017-02-09,894576.2000000001
2017-02-10,924032.8499999999
2017-02-13,943877.33
2017-02-14,945737.75
2017-02-15,928683.9000000001
2017-02-16,911164.945
2017-02-17,918761.66
2017-02-20,925893.27
2017-02-21,914885.785
2017-02-22,937365.8599999999
2017-02-24,959535.865
2017-02-27,1001395.3150000002
2017-02-28,1013643.0800000001
2017-03-01,998449.6500000001
2017-03-02,992248.25
2017-03-03,992558.32
2017-03-06,1007131.6099999999
2017-03-07,1034882.8750000001
2017-03-09,1003100.7000000001
2017-03-10,995300.7000000001
2017-03-13,990776.7000000001
2017-03-14,1004660.7000000003
2017-03-15,998108.7000000001
2017-03-16,992336.7000000001
2017-03-17,1026656.7000000002
2017-03-20,1039760.7000000002
2017-03-21,1045532.7000000001
2017-03-22,1060508.7000000002
2017-03-23,1041008.7000000001
2017-03-24,1047716.7000000003
2017-03-27,1063004.7000000004
2017-03-28,1040072.7000000003
2017-03-29,1059104.7000000004
2017-03-30,1064096.7000000002
2017-03-31,1077668.7000000004
2017-04-03,1083440.7000000002
2017-04-04,1073924.7000000002
2017-04-05,1064408.7000000002
2017-04-06,1056920.7000000004
2017-04-07,1050836.7000000004
2017-04-10,1079696.7000000002
2017-04-11,1102316.7000000002
2017-04-12,1140380.7000000002
2017-04-13,1117916.7000000002
2017-04-14,1149116.7000000002
2017-04-18,1159568.7000000002
2017-04-19,1164248.7000000002
2017-04-20,1177352.7000000002
2017-04-21,1161752.7000000002
2017-04-24,1161596.7000000002
2017-04-25,1130396.7000000002
2017-04-26,1163011.2600000002
2017-04-27,1160046.3000000003
2017-04-28,1130582.0100000002
2017-05-02,1133361.6600000001
2017-05-03,1148001.1500000001
2017-05-04,1180615.7100000002
2017-05-05,1170979.59
2017-05-10,1163752.5000000002
2017-05-11,1155784.1700000002
2017-05-16,1111680.3900000001
2017-05-17,1100005.86
2017-05-18,1107418.2600000002
2017-05-22,1083513.2700000003
2017-05-23,1101858.9600000002
2017-05-24,1079065.83
2017-05-25,1093890.6300000001
2017-05-26,1099635.2400000002
2017-05-29,1113348.1800000002
2017-05-30,1100747.1
2017-05-31,1046080.6500000001
2017-06-01,1025881.8600000001
2017-06-02,1035703.29
2017-06-05,1030143.9900000002
2017-06-06,1037741.7000000002
2017-06-07,1009759.8900000002
2017-06-08,1021063.8
2017-06-09,1015875.1200000002
2017-06-13,997158.8100000003
2017-06-14,989931.7200000002
2017-06-15,994749.7800000001
2017-06-16,1014392.6400000002
2017-06-20,1074618.3900000001
2017-06-21,1074247.7700000003
2017-06-22,1063129.1700000002
2017-06-23,1079807.0700000003
2017-06-26,1063685.1
2017-06-27,1062017.3100000003
2017-06-28,1056643.3200000003
2017-06-29,1057940.4900000002
2017-06-30,1055902.08
2017-07-03,1060905.4500000002
2017-07-04,1055531.4600000002
2017-07-05,1052381.1900000002
2017-07-06,1048860.3000000003
2017-07-07,1057569.87
2017-07-10,1056272.7000000002
2017-07-11,1096484.9700000002
2017-07-12,1082216.1
2017-07-13,1075730.25
2017-07-14,1093334.7000000002
2017-07-17,1092037.53
2017-07-18,1103156.1300000001
2017-07-19,1100376.48
2017-07-21,1111865.7000000002
2017-07-24,1101488.34
2017-07-25,1109641.98
2017-07-26,1113718.8
2017-07-27,1117980.9300000002
2017-07-28,1129470.1500000001
2017-07-31,1097040.9000000001
2017-08-01,1131132.3450000002
2017-08-02,1119895.5
2017-08-03,1105040.01
2017-08-04,1107325.47
2017-08-07,1105801.83
2017-08-08,1114372.305
2017-08-09,1104849.555
2017-08-10,1111134.57
2017-08-11,1131322.7999999998
2017-08-14,1123514.145
2017-08-15,1118562.315
2017-08-16,1148082.8399999999
2017-08-17,1152272.8499999999
2017-08-18,1145035.56
2017-08-21,1148820.455
2017-08-22,1149418.07
2017-08-23,1127903.9300000002
2017-08-24,1135274.5150000001
2017-08-25,1137266.5650000002
2017-08-28,1131888.03
2017-08-29,1135075.31
2017-08-30,1135473.7200000002
2017-08-31,1155394.2200000002
2017-09-01,1170932.2100000002
2017-09-04,1155792.6300000001
2017-09-05,1158581.5
2017-09-06,1163960.0350000001
2017-09-07,1154796.605
2017-09-11,1148222.84
2017-09-12,1153999.7850000001
2017-09-14,1181290.87
2017-09-15,1190055.8900000001
2017-09-18,1179298.82
2017-09-19,1175713.1300000001
2017-09-20,1173322.6700000002
2017-09-22,1183282.9200000002
2017-09-25,1191051.915
2017-09-27,1177904.385
2017-09-28,1185274.9700000002
2017-10-02,1180294.8450000002
2017-10-03,1191649.5300000003
2017-10-04,1188063.84
2017-10-05,1186270.995
2017-10-06,1181091.665
2017-10-09,1178701.205
2017-10-12,1166948.11
2017-10-16,1167346.5200000003
2017-10-19,1193243.1700000002
2017-10-20,1195434.425
2017-10-23,1214159.695
2017-10-24,1210175.5950000002
