window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",10.108,29.67,1.241,16.15
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",7.876,19.2,0.824,18.68
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",1.941,-24.2,-0.822,33.14
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""rsi_lower"":29,""rsi_upper"":73,""rsi_window"":15,""allowshort"":false}",2.943,13.49,0.769,12.22
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",1.369,10.56,1.521,4.56
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""rsi_lower"":38,""rsi_upper"":62,""rsi_window"":19,""allowshort"":true}",3.829,-29.02,-0.529,45.22
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""rsi_lower"":23,""rsi_upper"":66,""rsi_window"":30,""allowshort"":true}",7.599,-63.25,-0.681,77.72
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""rsi_lower"":24,""rsi_upper"":87,""rsi_window"":30,""allowshort"":false}",14.686,0.0,0.0,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",6.499,0.0,0.0,0.0
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",0.453,-3.17,-0.235,15.01
