time,equity
2017-01-03,1000000.0
2017-02-22,979283.1250000001
2017-02-24,958852.0000000001
2017-02-27,920275.75
2017-02-28,908988.625
2017-03-01,922990.375
2017-03-02,928705.3750000001
2017-03-03,928419.6250000001
2017-03-06,914989.3750000001
2017-03-07,940564.0000000002
2017-03-09,911274.6250000002
2017-03-10,918418.3750000002
2017-03-13,922561.7500000002
2017-03-14,909845.8750000001
2017-03-15,915846.6250000002
2017-03-16,921133.0000000002
2017-03-17,889700.5000000002
2017-03-20,877699.0000000001
2017-03-21,872412.6250000002
2017-03-22,858696.6250000001
2017-03-23,876556.0000000001
2017-03-24,882699.6250000002
2017-03-27,896701.3750000003
2017-03-28,875698.7500000001
2017-03-29,893129.5000000003
2017-03-30,897701.5000000002
2017-03-31,910131.6250000002
2017-04-03,915418.0000000001
2017-04-04,906702.6250000001
2017-04-05,897987.2500000001
2017-04-06,891129.2500000003
2017-04-07,885557.1250000002
2017-04-10,911989.0000000002
2017-04-11,932705.8750000002
2017-04-12,967567.3750000002
2017-04-13,946993.3750000002
2017-04-14,975568.3750000002
2017-04-18,985141.0000000002
2017-04-19,989427.2500000002
2017-04-20,1001428.7500000003
2017-04-21,987141.2500000002
2017-04-24,986998.3750000002
2017-04-25,958423.3750000002
2017-04-26,933277.3750000002
2017-04-27,935563.3750000002
2017-04-28,958280.5000000002
2017-05-02,956137.3750000002
2017-05-03,944850.2500000001
2017-05-04,919704.2500000002
2017-05-05,927133.7500000002
2017-05-11,938849.5000000002
2017-05-16,972853.7500000002
2017-05-17,981854.8750000002
2017-05-18,976139.8750000002
2017-05-22,994570.7500000002
2017-05-23,980426.1250000002
2017-05-24,997999.7500000002
2017-05-25,986569.7500000002
2017-05-26,982140.6250000001
2017-05-29,971567.8750000002
2017-05-30,981283.3750000002
2017-05-31,1023431.5
2017-06-01,1039004.8750000002
2017-06-02,1031432.5000000002
2017-06-05,1035718.75
2017-06-06,1029860.8750000002
2017-06-07,1051435.0000000002
2017-06-08,1042719.6250000001
2017-06-09,1046720.1250000002
2017-06-13,1061150.5000000002
2017-06-14,1066722.6250000002
2017-06-15,1063007.8750000002
2017-06-16,1047863.1250000003
2017-06-21,1001714.5000000002
2017-06-22,1010287.0000000001
2017-06-23,997428.2500000001
2017-06-26,1009858.3750000003
2017-06-27,1011144.2500000003
2017-06-28,1015287.625
2017-06-29,1014287.5
2017-06-30,1015859.1250000002
2017-07-03,1012001.5000000002
2017-07-04,1016144.8750000001
2017-07-05,1018573.7500000002
2017-07-06,1021288.3750000001
2017-07-07,1014573.2500000002
2017-07-10,1015573.3750000002
2017-07-11,984569.5000000002
2017-07-12,995570.8750000002
2017-07-13,990570.2500000002
2017-07-14,1004143.3750000001
2017-07-17,1003143.2500000001
2017-07-18,1011715.75
2017-07-19,1009572.6250000003
2017-07-21,1018430.8750000002
2017-07-24,1010429.8750000002
2017-07-25,1016716.3750000003
2017-07-26,1019859.625
2017-07-27,1023145.7500000003
2017-07-28,1032004.0000000001
2017-07-31,1007000.8750000001
2017-08-01,981426.2500000002
2017-08-02,989855.8750000002
2017-08-03,978711.6250000002
2017-08-07,979283.1250000002
2017-08-08,985712.5000000001
2017-08-09,978568.7500000001
2017-08-10,983283.6250000002
2017-08-11,998428.3750000001
2017-08-14,992570.5000000002
2017-08-15,988855.7500000002
2017-08-16,1011001.3750000002
2017-08-17,1014144.6250000001
2017-08-18,1008715.3750000002
2017-08-21,1006000.7500000003
2017-08-22,1005572.125
2017-08-23,1021002.6250000001
2017-08-24,1015716.2500000003
2017-08-28,1018145.1250000002
2017-08-31,1001285.8750000002
2017-09-01,990141.6250000002
2017-09-04,1001000.125
2017-09-05,998999.8750000002
2017-09-06,995142.2500000002
2017-09-11,1006429.3750000002
2017-09-12,1002286.0000000002
2017-09-14,982712.1250000002
2017-09-15,976425.6250000002
2017-09-18,984140.8750000001
2017-09-19,981569.1250000002
2017-09-20,979854.6250000002
2017-09-27,983140.7500000001
2017-09-28,988427.1250000002
2017-10-02,984855.2500000002
2017-10-03,992999.1250000002
2017-10-04,990427.3750000002
2017-10-05,989141.5000000002
2017-10-06,985426.7500000002
2017-10-09,983712.2500000002
2017-10-12,975282.6250000002
2017-10-17,978140.1250000002
2017-10-19,994142.1250000002
2017-10-20,995713.7500000002
2017-10-23,1009144.0
2017-10-24,1006286.5000000003
2017-10-25,1019716.7500000001
2017-10-27,1004572.0
2017-10-30,1006858.0000000002
2017-11-03,988998.6250000002
2017-11-07,955851.6250000002
2017-11-08,931134.2500000002
2017-11-09,929848.3750000002
2017-11-10,950993.8750000001
2017-11-13,963566.8750000002
2017-11-14,948993.6250000002
2017-11-15,961280.8750000002
2017-11-16,978425.8750000002
2017-11-20,968853.2500000001
2017-11-21,971282.1250000002
2017-11-22,976711.3750000002
2017-11-23,969853.3750000001
2017-11-24,963138.2500000002
2017-11-27,973282.3750000002
2017-11-30,1018716.6250000001
2017-12-01,1004714.8750000003
2017-12-04,1009715.5000000002
2017-12-05,1005715.0000000001
2017-12-06,993570.6250000002
2017-12-08,995428.0000000002
2017-12-11,973139.5000000002
2017-12-14,995856.6250000002
2017-12-15,975854.1250000002
2017-12-20,1008572.5000000003
2017-12-21,1019145.2500000002
2017-12-25,1019431.0000000002
2017-12-27,1026860.5000000002
2017-12-28,1026431.8750000003
2017-12-29,1025717.5000000002
2018-02-05,1051974.6576533504
2018-02-06,1007371.1526652877
2018-02-07,1005351.3713073378
2018-02-08,1003499.9050625502
2018-02-09,993064.3680464752
2018-02-12,1001143.4934782751
2018-02-13,1012420.6060601628
2018-02-14,1005856.3166468253
2018-02-15,1004846.4259678503
2018-02-16,998618.7667808377
2018-02-19,991212.9018016878
2018-02-20,992559.4227069878
2018-02-21,1003163.2748362252
2018-02-22,1018984.8954735004
2018-02-26,1040192.5997319752
2018-02-27,1019321.5256998254
2018-03-01,1007707.7828916126
2018-03-02,1013262.1816259753
2018-03-05,1014440.387418113
2018-03-06,999123.7121203253
2018-03-07,998113.8214413503
2018-03-09,1016460.1687760627
2018-03-12,1009895.8793627253
2018-03-13,1023361.0884157253
2018-03-14,1002490.0143835753
2018-03-15,1014777.0176444378
2018-03-16,1018648.2652471754
2018-03-19,1028073.9115842752
2018-03-20,1019994.7861524753
2018-03-21,1016628.4838892253
2018-03-22,1003668.2201757128
2018-03-23,1007202.8375521253
2018-03-26,982292.2008040752
2018-03-27,976232.8567302253
2018-03-28,977916.0078618503
2018-03-29,999460.3423466503
2018-03-30,995084.1494044252
2018-04-02,985490.1879541628
2018-04-03,977411.0625223628
2018-04-04,984311.9821620252
2018-04-05,996430.6703097253
2018-04-06,999796.9725729752
2018-04-09,952332.1106611502
2018-04-10,1015786.9083234128
2018-04-12,1019489.8408129876
2018-04-13,1007539.4677784502
2018-04-17,1009222.6189100753
2018-04-18,1021341.3070577752
2018-04-23,1026727.3906789751
2018-04-26,1056855.7959350627
2018-04-27,1038004.5032608629
2018-04-28,1042885.6415425753
2018-04-30,1044063.8473347129
2018-05-02,1043558.9019952253
2018-05-03,1050459.8216348877
2018-05-04,1052479.6029928378
2018-05-07,1055677.5901429255
2018-05-10,1047598.4647111252
2018-05-11,1063756.7155747253
2018-05-14,1067796.2782906252
2018-05-15,1081598.1175699502
2018-05-16,1097419.7382072255
2018-05-17,1115766.085541938
2018-05-18,1092370.2848123505
2018-05-21,1096073.2173019254
2018-05-22,1112568.0983918502
2018-05-23,1076548.6641750752
2018-05-24,1073855.6223644754
2018-05-25,1070489.3201012253
2018-05-28,1063420.0853484003
2018-05-29,1053321.1785586502
2018-05-31,1026054.1302263252
2018-06-01,1045242.0531268503
2018-06-04,1060727.0435378004
2018-06-05,1062073.5644431002
2018-06-06,1057024.111048225
2018-06-07,1086984.2011911504
2018-06-08,1047935.0949374503
2018-06-09,1054162.7541244626
2018-06-11,1048103.410050613
2018-06-14,1070152.6898749
2018-06-15,1047261.8344848002
2018-06-18,1052142.9727665128
2018-06-19,1054667.6994639502
2018-06-20,1060390.4133114754
2018-06-21,1053994.4390113002
2018-06-22,1043895.5322215505
2018-06-26,1051638.0274270254
2018-06-28,1045915.3135795002
2018-06-29,1064598.291140538
2018-07-03,1065439.8667063504
2018-07-05,1107518.644996975
2018-07-06,1120983.8540499753
2018-07-09,1137815.3653662254
2018-07-10,1131082.7608397254
2018-07-11,1117617.5517867254
2018-07-12,1112904.7286181755
