window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,87,94,True,1.79,2.57,0.228,14.13
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,99,108,True,1.865,29.29,1.275,9.47
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,77,179,True,3.109,-19.08,-0.807,25.65
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,37,94,True,1.054,-5.0,-0.13,23.57
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,48,92,True,0.671,-1.23,-0.049,10.12
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,30,97,True,1.167,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,87,152,True,0.906,60.25,1.702,17.31
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,25,143,True,11.175,-19.54,-0.974,32.46
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,34,64,True,20.764,29.28,1.237,7.0
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,34,64,True,21.96,-2.79,-0.916,4.28
