time,equity
2021-12-14,1000000.0
2023-03-14,1018875.1999999998
2023-03-15,1006827.2000000001
2023-03-16,974699.2
2023-03-17,969076.7999999999
2023-03-20,972691.2
2023-03-21,965462.4
2023-04-28,955462.8
2023-05-02,931617.6
2023-05-03,890465.4
2023-05-04,908541.6
2023-05-05,913156.8
2023-05-08,898542.0
2023-05-10,939694.2
2023-05-11,921618.0
2023-05-12,935463.6
2023-05-15,993922.8
2023-05-16,985846.2
2023-05-17,985077.0
2023-05-18,980461.8
2023-05-19,1039690.2
2023-05-22,1028921.4
2023-05-23,1024306.2000000001
2023-05-24,1044689.9999999999
2023-05-25,1041997.8
2023-05-26,1076227.2
2023-05-29,1138147.8
2023-05-30,1102380.0
2023-05-31,1105841.4
2023-06-01,1101226.2
2023-06-02,1190068.8
2023-06-05,1177377.0
2023-06-06,1211606.4
2023-06-07,1218913.8
2023-06-08,1233913.2
2023-06-09,1223144.4
2023-06-13,1220452.2
2023-06-14,1211991.0
2023-06-15,1200068.4
2023-06-16,1190453.4
2023-06-19,1195837.8
2023-06-20,1208529.6
2023-06-22,1198914.6
2023-06-23,1180838.4
2023-06-26,1187376.6
2023-06-27,1205452.8
2023-06-28,1202760.6
2023-06-29,1197760.8
2023-06-30,1179300.0
2023-07-03,1173915.6
2023-07-04,1159685.4
2023-07-05,1164300.6
2023-07-06,1167762.0
2023-07-07,1165454.4
2023-07-10,1185069.0
2023-07-11,1198145.4
2023-07-12,1209298.8
2023-07-13,1232374.8
2023-07-14,1272373.2
2023-07-17,1316986.8
2023-07-18,1301987.4
2023-07-19,1287372.6
2023-07-20,1266988.8
2023-07-21,1291603.2
2023-07-24,1311217.8
2023-07-25,1307756.4
2023-07-26,1300833.6
2023-07-27,1341601.2
2023-07-28,1387753.2
2023-07-31,1378522.8
2023-08-01,1403521.8
2023-08-02,1390830.0
2023-08-03,1438520.4
2023-08-04,1403906.4
2023-08-07,1388522.4
2023-08-08,1406214.0
2023-08-09,1504287.0
2023-08-10,1465057.8
2023-08-11,1485441.6
2023-08-14,1412752.2
2023-08-15,1419290.4
2023-08-16,1365446.4
2023-08-17,1384676.4
2023-08-18,1393522.2
2023-08-21,1451596.8
2023-08-22,1429290.0
2023-08-23,1370446.2
2023-08-24,1404675.6
2023-08-25,1394676.0
2023-08-28,1413906.0
2023-08-29,1402368.0
2023-08-30,1404291.0
2023-08-31,1436212.8
2023-09-01,1424290.2
2023-09-04,1480441.8
2023-09-05,1464673.2
2023-09-06,1439289.6
2023-09-08,1380445.8
2023-09-11,1275450.0
2024-01-24,1271951.1855600001
2024-01-25,1297609.15812
2024-01-26,1314325.716
2024-01-29,1317047.0161200003
2024-01-30,1316269.5018
2024-01-31,1352423.9176800002
2024-02-01,1333763.574
2024-02-05,1310438.1443999999
2024-02-06,1324433.40216
2024-02-07,1296831.6438
2024-02-08,1285946.4433200003
2024-02-09,1281281.3574
2024-02-12,1306550.5728
2024-02-13,1342316.2315200001
2024-02-14,1326377.18796
2024-02-15,1311215.6587200002
2024-02-16,1283613.90036
2024-02-19,1284391.41468
2024-02-20,1253679.5990400002
2024-02-21,1242794.3985600001
2024-02-28,1228244.57514
2024-02-29,1249686.4201800001
2024-03-01,1258875.78234
2024-03-04,1263853.35351
2024-03-05,1260790.23279
2024-03-06,1250069.31027
2024-03-07,1254281.1012600001
2024-03-11,1253132.43099
2024-03-12,1240497.05802
2024-03-13,1231307.69586
2024-03-14,1212928.97154
2024-03-15,1206036.94992
2024-03-18,1233222.1463100002
2024-03-19,1210631.6310000003
2024-03-20,1201442.2688399998
2024-03-21,1207568.5102800003
2024-03-22,1158558.5787600002
2024-03-25,1163536.1499300003
2024-03-26,1183446.43461
2024-03-27,1176554.4129899999
2024-03-28,1165450.6003800002
2024-03-29,1167747.94092
2024-04-02,1177320.1931699999
2024-04-03,1216374.9823500002
2024-04-04,1186126.66524
2024-04-09,1157027.0184000002
2024-04-10,1157792.7985800002
2024-04-11,1147454.76615
2024-04-12,1164301.93011
2024-04-15,1166216.3805600002
2024-04-16,1165067.7102899998
2024-04-17,1160473.02921
2024-04-18,1154729.67786
2024-04-19,1150900.7769600002
2024-04-22,1163919.04002
2024-04-23,1148603.43642
2024-04-24,1139031.18417
2024-04-25,1153581.00759
2024-04-26,1139796.96435
2024-04-27,1124481.3607500002
2024-04-29,1119886.67967
2025-06-03,1186448.264362866
2025-06-04,1203088.6605360827
2025-06-05,1215462.2884597569
2025-06-06,1168101.1608898325
2025-06-07,1177061.3742138722
2025-06-08,1162554.362165427
2025-06-09,1163834.3926402896
2025-06-10,1158287.5939158842
2025-06-11,1103246.2834967836
2025-06-13,1099406.1920721952
2025-06-14,1107939.7285712806
2025-06-15,1110073.1126960518
2025-06-16,1095139.4238226525
2025-06-17,1121166.7101448628
2025-06-18,1138660.459967988
2025-06-19,1129273.569818994
2025-06-20,1101539.5761969665
2025-06-23,1081485.7654241158
2025-06-24,1156580.8866160673
2025-06-25,1146767.3196421189
2025-06-26,1148047.350116982
2025-06-27,1144207.2586923935
