time,equity
2021-12-14,1000000.0
2021-12-24,1003635.2000000002
2021-12-27,994774.4000000001
2021-12-28,1004089.5999999999
2021-12-29,1016812.8
2021-12-30,1008860.8000000002
2022-02-01,1049847.9894937603
2022-02-02,1013663.9862688002
2022-02-03,964031.0614912001
2022-02-04,930088.5451916801
2022-02-07,931689.6072812801
2022-02-08,976519.3457900801
2022-02-09,1016866.1104480001
2022-02-10,972676.7967750401
2022-02-11,936492.7935500802
2022-02-14,954424.6889536002
2022-02-15,988687.4176710402
2022-02-16,984204.4438201602
2022-02-17,941616.1922368002
2022-02-18,895505.6040563202
2022-02-21,672637.7611840002
2022-02-22,576894.2482259201
2022-02-24,850355.6531296002
2022-02-25,871169.4602944001
2022-03-29,528542.1731200002
2022-03-30,449449.70589376014
2022-03-31,455552.9101894402
2022-04-01,446879.93566400016
2022-04-04,430658.26108864014
2022-04-05,403515.06303680013
2022-04-06,403354.45239744015
2022-04-07,395323.92042944016
2022-04-08,399981.6289708802
2022-04-11,392111.70764224016
2022-04-12,376693.08626368013
2022-04-13,375086.97987008013
2022-04-14,404478.72687296016
2022-04-15,410581.93116864015
2022-04-18,407851.55029952014
2022-04-19,411063.76308672014
2022-04-20,398375.5225772801
2022-04-21,408333.3822176002
2022-04-22,400082.31327872025
2022-04-25,355756.80339776026
2022-04-26,348465.1610796803
2022-04-27,296848.0088806403
2022-04-28,277611.05114624026
2022-04-29,274175.8801222403
2022-05-04,265794.06282368023
2022-05-05,265244.4354598403
2022-05-06,257412.2455251203
2022-05-11,254251.88818304025
2022-05-12,232541.60731136025
2022-05-13,232129.38678848025
2022-05-16,225259.04474048025
2022-05-17,219625.36426112024
2022-05-18,230684.49635072023
2022-05-19,222328.70766080028
2022-05-20,215324.59067072024
2022-05-23,212129.73028928027
2022-05-24,206354.40575360027
2022-05-25,212006.85104384026
2022-05-26,216061.86614336024
2022-05-27,213358.52274368025
2022-05-30,209180.62839872023
2022-05-31,206600.16424448023
2022-06-01,205002.73405376024
2022-06-02,202176.51140864025
2022-06-03,189274.19063744025
2022-06-06,201439.23593600027
2022-06-07,206231.52650816028
2022-06-08,200210.44348160026
2022-06-09,206968.80198080026
2022-06-14,213112.76425280026
2022-06-15,193574.96422784028
2022-06-16,201800.81164672025
2022-06-17,198202.00340096027
2022-06-20,199487.29206016025
2022-06-21,193060.84876416024
2022-06-22,188433.80959104025
2022-06-23,199872.87865792026
2022-06-24,194860.25288704026
2022-06-27,203471.68690368024
2022-06-28,217738.39102080025
2022-06-29,208484.31267456023
2022-06-30,194603.19515520023
2022-07-01,194988.78175296023
2022-07-04,203086.10030592026
2022-07-05,202571.98484224026
2022-07-06,206556.37968576024
2022-07-07,214139.58277504027
2022-07-08,211569.00545664027
2022-07-11,207841.66834496023
2022-07-12,205785.20649024023
2022-07-13,198073.47453504027
2022-07-18,188819.39618880028
2022-07-19,187298.0341024003
2022-07-20,185074.50489920026
2022-07-21,182499.89213760025
2022-07-22,186478.83913280026
2022-07-25,211054.68822080025
2022-07-26,240194.62356800027
2022-07-27,234343.2309280003
2022-07-28,242769.23632960027
2022-07-29,239609.48430400027
2022-08-01,229076.9775520003
2022-08-02,214214.4402464003
2022-08-03,235747.56516160027
2022-08-04,242418.15277120026
2022-08-05,227087.5040544003
2022-08-08,212927.1338656003
2022-08-09,229559.6165587203
2022-08-10,238340.7409619203
2022-08-11,210447.7575635203
2022-08-12,216129.6615891203
2022-08-15,219745.4186963203
2022-08-16,218299.1158534403
2022-08-17,215303.2028217603
2022-08-18,217059.4277024003
2022-08-19,217989.19381568028
2022-08-22,214166.82201664028
2022-08-23,200736.8670470403
2022-08-24,192315.70417728028
2022-08-25,190434.38055744028
2022-08-26,188821.81745472027
2022-08-29,190523.96739648026
2022-08-30,192226.1173382403
2022-08-31,192763.63837248026
2022-09-01,195451.24354368026
2022-09-02,196526.28561216025
2022-09-05,191151.07526976024
2022-09-06,197242.98032448028
2022-09-08,195003.30934848025
2022-09-09,188732.23061568025
2022-09-12,174846.27056448025
2022-09-13,172531.94388928026
2022-09-14,173651.77937728027
2022-09-15,181042.69359808028
2022-09-19,205529.76293568028
2022-09-20,184178.23296448027
2022-09-21,167231.38924608027
2022-09-22,159019.26233408027
2022-09-23,177608.53143488028
2022-09-26,211054.2846764803
2022-09-27,194182.09665728032
2022-09-28,199184.02850368028
2022-09-29,201423.69947968028
2022-09-30,198736.09430848027
2022-10-03,187911.0179244803
2022-10-04,188582.91921728032
2022-10-06,186992.55105216024
2022-10-07,174621.4963782403
2022-10-10,164183.4189971203
2022-10-11,173187.50163712027
2022-10-12,183563.63496512032
2022-10-13,188880.33138112028
2022-10-14,188451.56554112028
2022-10-17,195397.5721491203
2022-10-18,184249.66030912029
2022-10-19,187165.26802112028
2022-10-20,186736.50218112028
2022-10-21,189137.59088512033
2022-10-24,187851.29336512033
2022-10-25,192396.21126912028
2022-10-26,193253.7429491203
2022-10-27,191538.6795891203
2022-10-28,191624.4327571203
2022-10-31,194454.2873011203
2022-11-01,201228.7875731203
2022-11-02,192996.48344512034
2022-11-03,195483.3253171203
2022-11-07,201657.5534131203
2022-11-08,204401.6547891203
2022-11-09,199170.71154112028
2022-11-10,215635.3197971203
2022-11-11,214520.5286131203
2022-11-14,223610.3644211203
2022-11-15,213662.9969331203
