time,equity
2021-12-14,1000000.0
2022-09-14,1006494.9999999999
2022-09-15,1049362.0
2022-09-16,1104353.0
2022-09-19,1191386.0
2022-09-20,1067548.0
2022-09-21,969257.0
2022-09-22,1016887.0000000001
2022-09-23,909070.0
2022-09-26,715086.0
2022-09-27,617228.0
2022-09-28,646239.0
2022-09-29,659229.0
2022-09-30,643641.0
2022-10-03,580856.0
2022-10-04,584753.0
2022-10-05,585619.0
2022-10-06,593413.0
2022-10-07,648837.0
2022-10-10,602073.0
2022-10-11,556608.0
2022-10-12,504214.9999999999
2022-10-13,477369.0
2022-10-14,479534.0
2022-10-17,444461.0
2022-10-18,500750.99999999994
2022-10-19,486029.0
2022-10-20,488194.0
2022-10-21,476069.9999999999
2022-10-24,472829.9999999999
2022-10-25,484277.9999999998
2022-10-26,486437.9999999998
2022-10-27,482117.9999999998
2022-10-28,482333.9999999998
2022-10-31,489461.9999999999
2022-11-01,506525.99999999994
2022-11-02,485789.9999999999
2022-11-03,492053.9999999998
2022-11-07,507605.9999999999
2022-11-08,514517.9999999998
2022-11-09,501341.9999999998
2022-11-10,542813.9999999999
2022-11-11,540005.9999999999
2022-11-14,562901.9999999999
2022-11-15,537845.9999999999
2022-11-16,548861.9999999999
2022-11-17,545837.9999999999
2022-11-21,529205.9999999999
2022-11-22,541517.9999999999
2022-11-23,546269.9999999999
2022-11-24,547565.9999999999
2022-11-25,538925.9999999999
2022-11-28,535685.9999999999
2022-11-29,539573.9999999999
2022-11-30,547133.9999999999
2022-12-01,542165.9999999999
2022-12-02,536549.9999999999
2022-12-05,538277.9999999999
2022-12-06,527045.9999999999
2022-12-07,523589.9999999999
2022-12-08,512573.9999999999
2022-12-09,509117.9999999998
2022-12-12,505877.9999999998
2022-12-13,500909.9999999999
2022-12-14,478661.9999999999
2022-12-15,476717.9999999998
2022-12-16,478229.9999999999
2022-12-19,488165.99999999994
2022-12-20,470885.99999999994
2022-12-21,481037.9999999999
2022-12-22,458573.9999999999
2022-12-23,469157.9999999999
2022-12-26,467429.9999999999
2022-12-27,466781.99999999994
2022-12-28,480389.9999999999
2022-12-29,479309.9999999999
2022-12-30,484277.9999999999
2023-03-21,480677.87734799995
2023-03-22,478077.7887659999
2023-03-24,477277.76150999987
2023-03-27,470477.52983399987
2023-03-28,468152.9954339998
2023-03-29,468346.7066339998
2023-03-31,465828.46103399986
2023-04-03,466603.3058339999
2023-04-04,456724.03463399987
2023-04-05,453237.2330339999
2023-04-06,456917.7458339999
2023-04-07,459629.7026339999
2023-04-10,442776.8282339999
2023-04-11,454012.0778339999
2023-04-12,446844.76343399996
2023-04-13,450525.2762339999
2023-04-14,449556.7202339999
2023-04-17,444907.65143399994
2023-04-18,436965.4922339999
2023-04-20,441808.27223399986
2023-04-21,440839.7162339999
2023-04-24,442583.1170339999
2023-04-26,434059.8242339999
2023-04-27,420306.3290339999
2023-04-28,425342.82023399987
2023-05-02,414725.89678439987
2023-05-03,396403.14179879986
2023-05-04,388354.8288611999
2023-05-05,386299.9404515999
2023-05-08,392807.0870819999
2023-05-10,374484.3320964
2023-05-11,382532.6450339999
2023-05-12,376367.9798051999
2023-05-15,350339.3932835999
2023-05-16,347491.8386435998
2023-05-17,347220.6429635999
2023-05-18,345593.4688835999
2023-05-19,366475.53624359984
2023-05-22,362678.79672359984
2023-05-23,361051.6226435998
2023-05-24,368238.30816359987
2023-05-25,367289.1232835999
2023-05-26,379357.3310435999
2023-05-29,401188.58328359993
2023-05-30,388577.9841635999
2023-05-31,389798.3647235998
2023-06-01,388171.1906435999
2023-06-02,419494.2916835999
2023-06-05,415019.56296359986
2023-06-06,427087.7707235998
2023-06-07,429664.12968359987
2023-06-08,434952.4454435999
2023-06-09,431155.70592359983
2023-06-13,430206.5210435999
2023-06-14,427223.3685635999
2023-06-15,423019.8355235998
2023-06-16,419629.8895235998
2023-06-19,421528.25928359985
2023-06-20,426002.98800359986
2023-06-22,422613.04200359987
2023-06-23,416239.9435235998
2023-06-26,418545.1068035999
2023-06-27,424918.20528359985
2023-06-28,423969.0204035999
2023-06-29,422206.2484835999
2023-06-30,415697.5521635999
2023-07-03,413799.1824035999
2023-07-04,408782.0623235998
2023-07-05,410409.23640359985
2023-07-06,411629.61696359987
2023-07-07,410816.0299235998
2023-07-10,417731.5197635999
2023-07-11,422341.8463235998
2023-07-12,426274.18368359987
2023-07-13,434410.0540835999
2023-07-14,448512.2294435999
2023-07-17,464241.5788835999
2023-07-18,458953.2631235998
2023-07-19,453800.54520359985
2023-07-20,446613.8596835999
2023-07-21,455292.12144359987
2023-07-24,462207.61128359986
2023-07-25,460987.2307235998
2023-07-26,458546.46960359986
2023-07-27,472919.84064359986
2023-07-28,489191.58144359983
2023-07-31,485937.2332835999
2023-08-01,494751.0928835999
2023-08-02,490276.36416359985
2023-08-03,507090.4963235998
2023-08-04,494886.6907235998
2023-08-07,489462.7771235998
2023-08-08,495700.2777635999
2023-08-09,530277.7269635998
2023-08-10,516446.74728359986
2023-08-11,523633.43280359986
2023-08-14,498005.4410435998
2023-08-15,500310.6043235998
2023-08-16,481326.9067235998
2023-08-17,488106.7987235998
2023-08-18,491225.5490435998
2023-08-21,511700.82288359985
2023-08-22,503836.14816359984
2023-08-23,483089.67864359985
2023-08-24,495157.88640359987
2023-08-25,491632.3425635999
2023-08-28,498412.2345635999
2023-08-29,494344.2993635998
2023-08-30,495022.28856359987
2023-08-31,506276.9092835998
2023-09-01,502073.3762435999
2023-09-04,521870.66088359983
2023-09-05,516311.14944359986
2023-09-06,507361.69200359983
2023-09-08,486615.22248359985
2023-09-11,449597.01216359984
2023-09-12,463021.19832359976
2023-09-13,437393.2065635999
2023-09-14,434545.6519235998
2023-09-15,437528.8044035999
2023-09-18,451630.97976359987
2023-10-20,420172.28088359983
