window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":143,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.443577808476162,""cluster_atr_mult"":1.1754517107543667,""confirmation_bars"":2,""cooldown_bars"":17,""allowshort"":true}",2.226,-13.84,-1.494,15.23
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",1.216,-15.58,-1.096,15.72
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",1.639,17.69,1.086,13.5
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.42683180247728636,""cluster_atr_mult"":1.0219772826786355,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",0.778,-2.21,-0.161,10.24
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":132,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":1.15407440394936,""cluster_atr_mult"":0.7650853862979067,""confirmation_bars"":2,""cooldown_bars"":6,""allowshort"":true}",2.569,13.19,0.577,25.21
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",2.271,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.838792635777333,""cluster_atr_mult"":0.4404167763981929,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",0.473,45.16,1.29,16.03
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":233,""pivot_window"":6,""min_touches"":4,""tolerance_atr_mult"":0.7920392514089516,""cluster_atr_mult"":0.4663690099729743,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",7.149,0.0,0.0,0.0
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.579884089544096,""cluster_atr_mult"":0.5926649898240723,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",3.048,-31.33,-1.02,39.18
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":124,""pivot_window"":8,""min_touches"":5,""tolerance_atr_mult"":0.7111276328576128,""cluster_atr_mult"":0.7204292803184421,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",0.96,31.08,3.338,7.25
