time,equity
2017-01-03,1000000.0
2017-01-06,1007272.2000000001
2017-01-09,1012726.3499999999
2017-01-10,1003356.4000000001
2017-01-11,1017900.8
2017-01-12,1027130.8999999999
2017-01-13,1031326.3999999998
2017-01-16,1029088.8
2017-01-17,1031885.7999999999
2017-01-18,1040276.8
2017-01-19,1039158.0
2017-01-20,1042794.0999999999
2017-01-23,1039297.8499999999
2017-01-24,1041815.1499999999
2017-01-26,1033563.9999999999
2017-01-27,1025033.15
2017-01-30,1029228.65
2017-01-31,1035242.1999999998
2017-02-01,1028249.7
2017-02-03,1030767.0
2017-02-07,1037759.5
2017-02-08,1039018.15
2017-02-13,1046570.0499999999
2017-02-14,1050485.85
2017-02-15,1052024.2
2017-02-16,1048947.5
2017-02-17,1049786.5999999999
2017-02-21,1049926.45
2017-02-22,1056918.95
2017-02-24,1060694.9
2017-02-27,1066288.9
2017-02-28,1075658.85
2017-03-01,1059296.4
2017-03-02,1076777.65
2017-03-09,1096356.65
2017-03-10,1090063.4
2017-03-13,1087126.5499999998
2017-03-14,1089923.5499999998
2017-03-15,1088804.7499999998
2017-03-16,1083770.15
2017-03-17,1073281.4
2017-03-20,1088671.4
2017-03-21,1082191.4
2017-03-22,1084945.4
2017-03-23,1081867.4
2017-03-24,1075711.4
2017-03-27,1061131.4
2017-03-28,1061455.4
2017-03-29,1072309.4
2017-04-03,1083163.4
2017-04-04,1087051.4000000001
2017-04-05,1083811.4
2017-04-06,1071661.4
2017-04-07,1062589.4
2017-04-10,1048657.4
2017-04-11,1051411.4
2017-04-12,1064371.4
2017-04-13,1065991.4
2017-04-14,1064533.4
2017-04-17,1062751.4000000001
2017-04-20,1059511.4
2017-04-21,1049791.4
2017-04-24,1047361.4
2017-04-25,1062954.15
2017-04-26,1100087.4
2017-04-27,1072438.4
2017-05-02,1083047.9
2017-05-03,1085137.65
2017-05-04,1078707.6500000001
2017-05-05,1056684.9
2017-05-10,1075492.65
2017-05-11,1059256.9000000001
2017-05-12,1055720.4
2017-05-15,1070670.1500000001
2017-05-16,1077100.15
2017-05-18,1053630.65
2017-05-19,1067294.4000000001
2017-05-22,1055398.9
2017-05-23,1030321.8999999999
2017-05-24,1027410.1499999999
2017-05-25,1026184.1499999998
2017-05-26,1017448.9
2017-05-29,1011778.6499999999
2017-05-30,1012698.1499999999
2017-05-31,1009479.8999999999
2017-06-01,1031241.4000000001
2017-06-02,1024038.65
2017-06-05,1026337.3999999998
2017-06-06,1037064.8999999998
2017-06-07,1040742.8999999999
2017-06-08,1034766.1499999998
2017-06-09,1023272.4
2017-06-14,1042428.6499999999
2017-06-15,1043961.1499999999
2017-06-19,1054382.15
2017-06-21,1052543.15
2017-06-26,1050244.3999999997
2017-06-27,1051930.15
2017-06-28,1045493.6499999998
2017-07-03,1047314.1499999998
2017-07-04,1048942.65
2017-07-06,1040311.5999999999
2017-07-07,1037217.4499999997
2017-07-10,1039171.6499999999
2017-07-13,1037706.0
2017-07-18,1034286.15
2017-07-19,1044057.15
2017-07-20,1057085.15
2017-07-21,1038031.6999999998
2017-07-26,1035914.6499999998
2017-07-27,1032820.4999999997
2017-07-28,991945.1499999999
2017-07-31,1011649.9999999999
2017-08-01,1005787.4
2017-08-02,978754.2999999998
2017-08-03,976311.5499999998
2017-08-04,993247.9499999998
2017-08-07,972240.3
2017-08-08,973054.5499999998
2017-08-09,974194.4999999998
2017-08-10,995527.8499999997
2017-08-11,1006601.6499999999
2017-08-14,998459.1499999999
2017-08-15,989990.9499999998
2017-08-16,1000576.1999999998
2017-08-18,1015558.3999999998
2017-08-21,1018815.3999999998
2017-08-22,1016372.6499999999
2017-08-23,998784.85
2017-08-24,991619.4499999998
2017-08-25,979901.4499999997
2017-08-28,979413.1999999998
2017-08-29,976483.6999999997
2017-08-30,1054766.4499999997
2017-08-31,1050860.4499999997
2017-09-01,1032795.2000000001
2017-09-04,1003174.6999999997
2017-09-05,978273.9499999997
2017-09-08,1002686.4499999997
2017-09-11,1010986.6999999997
2017-09-12,1037352.1999999997
2017-09-13,1015543.6999999998
2017-09-14,1023681.1999999997
2017-09-18,1013590.6999999997
2017-09-19,1007243.4499999998
2017-09-20,1005941.4499999997
2017-09-22,997641.2
2017-09-25,1017984.9499999997
2017-09-26,1014567.1999999998
2017-09-28,1007731.7
2017-09-29,1002523.6999999998
2017-10-02,1004964.9499999997
2017-10-03,1002198.1999999996
2017-10-04,1005615.9499999997
2017-10-05,1008870.9499999997
2017-10-06,1004802.1999999996
2017-10-09,1002849.1999999996
2017-10-11,1009196.4499999997
2017-10-13,1012125.9499999997
2017-10-16,1009684.6999999997
2017-10-17,1018635.9499999997
2017-10-18,1024657.6999999997
2017-10-19,1024983.1999999998
2017-10-20,1024332.1999999997
2017-10-24,1011474.9499999997
2017-10-25,1021402.6999999997
2017-10-26,1024820.4499999996
2017-10-27,1020426.1999999997
2017-10-31,1028400.9499999997
2017-11-01,1029214.6999999998
2017-11-02,1032306.9499999995
2017-11-03,1036538.4499999997
2017-11-07,1016194.6999999998
2017-11-08,1026773.4499999996
2017-11-09,1007731.6999999997
2017-11-10,988655.4999999995
2017-11-13,987010.9999999995
2017-11-14,967112.5499999996
2017-11-15,1021545.4999999995
2017-11-16,1078116.2999999996
2017-11-17,1056244.4499999997
2017-11-20,1046377.4499999998
2017-11-21,1059204.5499999996
2017-11-22,1064138.0499999996
2017-11-23,1075320.6499999994
2017-11-27,1067920.3999999994
2017-11-28,1065782.5499999996
2017-11-29,1075649.5499999996
2017-11-30,1099001.4499999997
2017-12-01,1085516.5499999996
2017-12-04,1095383.5499999996
2017-12-05,1097685.8499999996
2017-12-06,1087161.0499999996
2017-12-07,1094890.1999999995
2017-12-08,1100974.8499999996
2017-12-11,1091765.6499999994
2017-12-12,1091272.2999999996
2017-12-13,1066788.7999999996
2017-12-14,1073175.7999999996
2017-12-15,1064659.7999999996
2017-12-18,1061892.0999999996
2017-12-19,1030595.7999999997
2017-12-20,977583.6999999996
2017-12-21,989506.0999999996
2017-12-22,963958.0999999996
2017-12-25,947990.5999999996
2017-12-26,957571.0999999996
2017-12-27,944797.0999999995
2017-12-28,955229.1999999996
2017-12-29,962551.5999999995
2018-02-07,950475.0907333394
2018-02-08,952521.9567107394
2018-02-09,961528.1670112995
2018-02-12,960504.7340225995
2018-02-13,949246.9711468995
2018-02-14,948632.9113536795
2018-02-15,955796.9422745793
2018-02-19,953750.0762971793
2018-02-20,947814.1649627195
2018-02-21,924070.5196248795
2018-02-22,977920.9501626795
2018-02-26,1032338.2273377192
2018-02-27,1016655.4703740793
2018-02-28,997004.7869497593
2018-03-01,992092.1160936794
2018-03-02,990391.5761819591
2018-03-05,991336.3205773595
2018-03-06,1001539.5600476793
2018-03-07,1033660.8694912792
2018-03-09,1063514.7923859193
2018-03-12,1052744.7062783595
2018-03-13,1054445.2461900795
2018-03-14,1011742.7995179994
2018-03-15,1017411.2658903995
2018-03-16,1010609.1062435192
2018-03-19,1009097.5152108794
2018-03-20,1018544.9591648793
2018-03-21,1020434.4479556791
2018-03-23,1034038.767249439
2018-03-26,1077308.0605587594
2018-03-27,1062003.2013532796
2018-03-28,1077119.1116796792
2018-03-29,1074284.8784934795
2018-03-30,1064648.4856603993
2018-04-02,1074473.8273725593
2018-04-03,1052555.7573992792
2018-04-04,1051233.1152457192
2018-04-05,1021379.1923510794
2018-04-06,993981.6048844792
2018-04-09,1088456.0444244794
2018-04-10,1078819.6515913992
2018-04-11,1087133.4022709192
2018-04-12,1078441.7538332394
2018-04-13,1079575.447107719
2018-04-16,1062192.1502323593
2018-04-17,1055012.0928273192
2018-04-18,1039329.3358636792
2018-04-19,1048776.7798176794
2018-04-20,1041407.7735335594
2018-04-23,1043573.5627611395
2018-04-25,1041013.9936739994
2018-04-26,1031760.1669743394
2018-04-27,1035107.2957805995
2018-04-28,1037666.8648677394
2018-04-30,1062671.8859497996
2018-05-02,1051449.1599523393
2018-05-03,1035894.8554997194
2018-05-04,1038651.3145166392
2018-05-07,1039045.0943761995
2018-05-10,1028806.8180276393
2018-05-11,1026247.2489404992
2018-05-14,1023884.5697831393
2018-05-16,1047117.5814971793
2018-05-17,1049086.4807949793
2018-05-18,1049480.2606545393
2018-05-21,1042392.2231824594
2018-05-22,1045739.3519887197
2018-05-23,1050464.7103034393
2018-05-24,1049283.3707247593
2018-05-25,1052236.7196714594
2018-05-28,1044558.0124100394
2018-05-29,1047905.1412162994
2018-05-30,1046723.8016376194
2018-05-31,1075272.8414557194
2018-06-01,1124298.4339709394
2018-06-04,1131583.3613727994
2018-06-05,1123510.8742518192
2018-06-06,1127251.7829176395
2018-06-07,1135914.9398279593
2018-06-08,1165448.4292949594
2018-06-09,1161313.7407695793
2018-06-11,1168795.5581012191
2018-06-13,1176474.2653626392
2018-06-14,1178443.1646604394
2018-06-15,1181199.6236773592
2018-06-18,1149697.2349125594
2018-06-19,1167811.1084523194
2018-06-20,1128236.2325665394
2018-06-21,1132961.5908812594
2018-06-22,1124277.8353666991
2018-06-25,1126689.989676299
2018-06-26,1131514.298295499
2018-06-27,1142368.9926886994
2018-06-28,1153947.3333747792
2018-06-29,1158289.2111320593
2018-07-02,1166008.1049227794
2018-07-03,1167214.1820775792
2018-07-04,1171556.059834859
2018-07-05,1173968.2141444592
2018-07-06,1170108.7672490992
