window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""macd_fast"":17,""macd_slow"":26,""macd_signal"":10,""allowshort"":true}",18.889,-3.74,-0.081,14.19
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""macd_fast"":17,""macd_slow"":26,""macd_signal"":10,""allowshort"":true}",1.568,53.62,1.919,9.22
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""macd_fast"":17,""macd_slow"":26,""macd_signal"":10,""allowshort"":true}",1.944,-4.25,-0.087,26.15
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""macd_fast"":8,""macd_slow"":36,""macd_signal"":7,""allowshort"":true}",7.888,41.23,1.381,13.88
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",12.118,49.08,1.515,11.99
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",28.546,20.46,0.621,39.85
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",4.106,18.14,0.651,21.91
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""macd_fast"":5,""macd_slow"":34,""macd_signal"":9,""allowshort"":true}",2.663,-3.54,0.025,30.08
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""macd_fast"":10,""macd_slow"":37,""macd_signal"":5,""allowshort"":true}",1.105,59.41,1.237,20.15
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""macd_fast"":17,""macd_slow"":33,""macd_signal"":11,""allowshort"":true}",3.085,24.21,2.7,7.62
