time,equity
2017-01-03,1000000.0
2017-01-12,990601.6000000001
2017-01-13,986329.6000000003
2017-01-16,988608.0000000001
2017-01-17,985760.0
2017-01-18,977216.0000000001
2017-05-04,971426.0000000002
2017-05-30,970543.1000000002
2017-05-31,973633.2500000002
2017-06-01,952737.9500000002
2017-06-02,959654.0000000001
2017-06-05,957446.7500000002
2017-06-06,947146.2500000002
2017-06-07,943614.6500000003
2017-06-08,949353.5000000002
2017-06-09,960389.7500000002
2017-06-14,941996.0000000002
2017-06-15,940524.5000000002
2017-06-19,930518.3000000003
2017-06-21,932284.1000000002
2017-06-26,934491.3500000003
2017-06-27,932872.7000000003
2017-06-28,939053.0000000002
2017-07-03,946410.5000000002
2017-07-04,947882.0000000002
2017-07-06,940083.0500000003
2017-07-07,937287.2000000002
2017-07-13,937728.6500000003
2017-07-18,934638.5000000002
2017-07-19,943467.5000000002
2017-07-20,955239.5000000002
2017-07-21,938022.9500000002
2017-07-26,936110.0000000002
2017-07-27,933314.1500000001
2017-07-28,896379.5000000002
2017-07-31,878574.3500000002
2017-08-01,883871.7500000002
2017-08-02,908298.6500000003
2017-08-03,910505.9000000003
2017-09-13,891364.0000000002
2017-09-14,898506.5000000002
2017-09-15,880078.8500000003
2017-09-18,889649.8000000004
2017-09-19,884078.6500000003
2017-09-20,882935.8500000003
2017-09-21,880507.4000000004
2017-09-22,875650.5000000005
2017-09-25,893506.7500000002
2018-03-15,898512.6215668751
2018-03-16,892505.5756866252
2018-03-19,891170.6766021253
2018-03-20,899513.7958802503
2018-03-21,901182.4197358752
2018-03-23,889168.3279753753
2018-03-26,850956.8416815627
2018-03-27,864472.6949121251
2018-03-28,851123.7040671252
2018-03-29,853626.6398505628
2018-03-30,862136.6215142504
2018-04-02,853459.7774650003
2018-04-03,872815.8141902502
2018-04-04,873983.8508891878
2018-04-05,900348.1078080627
2018-04-06,924543.1537146253
2018-04-09,841111.9609333753
2018-04-10,849621.9425970629
2018-04-11,842279.9976323127
2018-04-12,849955.6673681878
2018-04-13,848954.4930548128
2018-04-16,864305.8325265627
2018-04-17,870646.6031779378
2018-04-18,884496.1811796252
2018-04-19,876153.0619015002
2018-04-20,882660.6949384378
2018-04-25,882326.9701673128
2018-04-26,874484.4380458753
2018-04-27,877321.0986004379
2018-04-28,879490.3096127502
2018-04-30,900681.8325791877
2018-05-03,877988.5481426878
2018-05-04,880324.6215405626
2018-05-07,880658.3463116878
2018-05-10,871981.5022624377
2018-05-11,874150.7132747504
2018-05-15,859466.8233452502
2018-05-16,856463.3004051254
2018-05-17,854794.6765495003
2018-05-18,854460.9517783752
2018-05-21,860467.9976586254
2018-05-22,857631.3371040625
2018-05-24,854627.8141639378
2018-05-25,852124.8783805004
2018-05-28,858632.5114174377
2018-05-29,855795.8508628752
2018-05-30,856797.0251762501
2018-05-31,832601.9792696878
2018-06-01,791053.2452646253
2018-06-04,784879.3369988127
2018-06-05,791720.6948068754
2018-06-06,788550.3094811877
2018-06-07,781208.3645164379
2018-06-08,756179.0066820629
2018-06-09,759683.1167788752
2018-06-11,753342.3461275004
2018-06-13,746834.7130905627
2018-06-14,745166.0892349377
2018-06-15,742830.0158370627
2018-06-18,769527.9975270628
2018-06-19,754176.6580553127
2018-06-20,787715.9975533752
2018-06-21,783711.3002998753
2018-06-22,777704.2544196252
2018-06-25,779372.8782752502
2018-06-26,782710.1259865003
2018-06-27,790218.9333368128
2018-06-28,798228.3278438126
2018-06-29,801231.8507839378
2018-07-02,806571.4471219379
2018-07-03,807405.7590497503
2018-07-04,810409.2819898754
2018-07-05,812077.9058455003
2018-07-06,809408.1076765002
2018-07-09,824258.8599915628
2018-07-10,818251.8141113127
2018-07-11,811076.7315321252
2018-07-12,806237.7223508129
2018-07-13,830265.9058718131
2018-07-16,824425.7223771253
2018-07-17,813079.0801588752
2018-07-18,809908.6948331877
