window,train_start,train_end,test_start,test_end,params,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.582920382968694,""cluster_atr_mult"":0.7577136220482324,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0111022770860973,""allowshort"":true}",6.814,-10.65,-1.329,12.43
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,"{""lookback"":236,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.63343805039317,""cluster_atr_mult"":0.31530443931502045,""confirmation_bars"":3,""cooldown_bars"":9,""retest_window"":10,""cancel_atr_mult"":0.5317458894909167,""allowshort"":false}",1.244,-24.59,-1.356,30.32
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,"{""lookback"":236,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":1.159495882895529,""cluster_atr_mult"":1.1813568487447579,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":40,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",1.256,15.79,1.018,10.59
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,"{""lookback"":198,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":0.6320034938851092,""cluster_atr_mult"":0.6472550430494814,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":28,""cancel_atr_mult"":2.1161320688943284,""allowshort"":false}",0.871,7.11,1.925,0.29
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.4636424704863905,""cluster_atr_mult"":0.46506405886809044,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.0824582803960838,""allowshort"":true}",0.518,-10.05,-0.431,25.21
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,"{""lookback"":172,""pivot_window"":10,""min_touches"":4,""tolerance_atr_mult"":0.8874130802024829,""cluster_atr_mult"":1.0327293719363206,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":30,""cancel_atr_mult"":1.8020316063431894,""allowshort"":false}",2.446,0.0,0.0,0.0
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,"{""lookback"":232,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.6121658022659595,""cluster_atr_mult"":0.3132062328063658,""confirmation_bars"":3,""cooldown_bars"":9,""retest_window"":10,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",3.733,38.16,1.105,24.75
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,"{""lookback"":211,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.8171558485648601,""cluster_atr_mult"":0.31383096359529383,""confirmation_bars"":1,""cooldown_bars"":7,""retest_window"":40,""cancel_atr_mult"":0.6939375594965593,""allowshort"":false}",4.821,-1.83,-0.083,16.6
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,"{""lookback"":203,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.7700655608633571,""cluster_atr_mult"":1.1596531615554726,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":40,""cancel_atr_mult"":2.4404209584359418,""allowshort"":false}",2.066,-20.36,-0.612,32.28
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,"{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.9419203085006955,""cluster_atr_mult"":0.9847065437552076,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5454656587639881,""allowshort"":true}",0.762,0.0,0.0,0.0
