window,train_start,train_end,test_start,test_end,short_ema,long_ema,allowshort,train_score,test_return_%,test_sharpe,test_maxdd_%
1,2014-01-01,2016-12-31,2017-01-01,2017-12-31,72,158,False,0.682,0.0,0.0,0.0
2,2015-01-01,2017-12-31,2018-01-01,2018-12-31,100,121,False,1.874,0.0,0.0,0.0
3,2016-01-01,2018-12-31,2019-01-01,2019-12-31,98,122,False,1.869,6.42,0.48,13.5
4,2017-01-01,2019-12-31,2020-01-01,2020-12-31,48,65,True,6.878,-23.7,-0.85,39.9
5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,23,200,True,0.77,-8.45,-1.664,8.98
6,2019-01-01,2021-12-31,2022-01-01,2022-12-31,15,72,False,1.406,-7.17,-1.04,7.17
7,2020-01-01,2022-12-31,2023-01-01,2023-12-31,6,111,True,6.861,34.4,1.099,21.45
8,2021-01-01,2023-12-31,2024-01-01,2024-12-31,9,95,True,8.83,17.7,0.888,11.37
9,2022-01-01,2024-12-31,2025-01-01,2025-12-31,76,121,True,6.111,-27.55,-0.607,46.87
10,2023-01-01,2025-12-31,2026-01-01,2026-04-20,35,119,True,0.454,21.23,2.684,7.25
